Track name,Artist name,Album,Playlist name,Type,ISRC
"Chemtrails Over The Country Club","Lana Del Rey","Chemtrails Over The Country Club","ams 325 final project","Playlist","GBUM72006081"
"the last great american dynasty","Taylor Swift","folklore (deluxe version)","ams 325 final project","Playlist","USUG12002837"
"Not Strong Enough","boygenius","the record","ams 325 final project","Playlist","USUG12209242"
"Bags","Clairo","Immunity","ams 325 final project","Playlist","US4HB1900080"
"A World Alone","Lorde","Pure Heroine","ams 325 final project","Playlist","NZUM71300128"
"Brando","Lucy Dacus","Home Video","ams 325 final project","Playlist","USMTD2100010"
"Ribs","Lorde","Pure Heroine","ams 325 final project","Playlist","NZUM71300122"
"Snow On The Beach (feat. More Lana Del Rey)","Taylor Swift","Midnights (The Til Dawn Edition)","ams 325 final project","Playlist","USUG12302773"
"all my ghosts","Lizzy McAlpine","five seconds flat","ams 325 final project","Playlist","GBKPL2278084"
"Buzzcut Season","Lorde","Pure Heroine","ams 325 final project","Playlist","NZUM71300123"
"A Night To Remember","beabadoobee","A Night To Remember","ams 325 final project","Playlist","GBK3W2302799"
"I Don't Wanna Be Funny Anymore","Lucy Dacus","No Burden","ams 325 final project","Playlist","USWEX1600000"
"Night Shift","Lucy Dacus","Historian","ams 325 final project","Playlist","USMTD1810669"
"Tennis Court","Lorde","Pure Heroine","ams 325 final project","Playlist","NZUM71300023"
"There She Goes","The La's","The La's (Deluxe Edition)","ams 325 final project","Playlist","GBAQT8800001"
"""Slut!"" (Taylor's Version) (From The Vault)","Taylor Swift","1989 (Taylor's Version)","ams 325 final project","Playlist","USUG12306687"
"Suburban Legends (Taylor's Version) (From The Vault)","Taylor Swift","1989 (Taylor's Version)","ams 325 final project","Playlist","USUG12306690"
"Now That We Don't Talk (Taylor's Version) (From The Vault)","Taylor Swift","1989 (Taylor's Version) [Deluxe]","ams 325 final project","Playlist","USUG12306689"
"Is It Over Now? (Taylor's Version) (From The Vault)","Taylor Swift","1989 (Taylor's Version) [Deluxe]","ams 325 final project","Playlist","USUG12306691"
"Cant Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes","Olivia Rodrigo","Cant Catch Me Now (from The Hunger Games: The Ballad of Songbirds & Snakes)","ams 325 final project","Playlist","USUG12307028"
"Call It What You Want","Taylor Swift","reputation","ams 325 final project","Playlist","USCJY1750015"
"champagne problems","Taylor Swift","evermore","ams 325 final project","Playlist","USUG12004700"
"Daylight","Taylor Swift","Lover","ams 325 final project","Playlist","USUG11901486"
"The Archer","Taylor Swift","Lover","ams 325 final project","Playlist","USUG11901475"
"The Other Side Of The Door (Taylors Version)","Taylor Swift","Fearless (Taylor's Version)","ams 325 final project","Playlist","USUG12100635"
"august","Taylor Swift","folklore (deluxe version)","ams 325 final project","Playlist","USUG12002842"
"the 1","Taylor Swift","folklore (deluxe version)","ams 325 final project","Playlist","USUG12002835"
"this is me trying","Taylor Swift","folklore (deluxe version)","ams 325 final project","Playlist","USUG12002843"
"cardigan","Taylor Swift","folklore (deluxe version)","ams 325 final project","Playlist","USUG12002836"
"About You","The 1975","Being Funny In A Foreign Language","ams 325 final project","Playlist","GBK3W2202321"
"You're On Your Own, Kid","Taylor Swift","Midnights (3am Edition)","ams 325 final project","Playlist","USUG12205711"
"High School in Jakarta","NIKI","Nicole","ams 325 final project","Playlist","ZZOPM2236003"
"Nobody Gets Me","SZA","SOS","ams 325 final project","Playlist","USRC12204598"
"Always","Daniel Caesar","NEVER ENOUGH","ams 325 final project","Playlist","USUG12209355"
"Let Me Go","Daniel Caesar","Let Me Go","ams 325 final project","Playlist","USUG12209350"
"Kyoto","Phoebe Bridgers","Punisher","ams 325 final project","Playlist","USJ5G2020003"
"The Color Violet","Tory Lanez","Alone At Prom","ams 325 final project","Playlist","QZTGW2100275"
"Another Heartbreak","Giveon","Give Or Take","ams 325 final project","Playlist","USSM12107672"
"Sanctuary","Joji","Nectar","ams 325 final project","Playlist","ZZOPM2002183"
"21","Gracie Abrams","minor","ams 325 final project","Playlist","USUG11903590"
"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd","Save Your Tears (Remix)","ams 325 final project","Playlist","USUG12101839"
"House Of Balloons / Glass Table Girls","The Weeknd","Trilogy","ams 325 final project","Playlist","USUM71212069"
"Supercut","Lorde","Melodrama","ams 325 final project","Playlist","NZUM71700072"
"Perfect Places","Lorde","Melodrama","ams 325 final project","Playlist","NZUM71700074"
"Green Light","Lorde","Melodrama","ams 325 final project","Playlist","NZUM71700063"
"The Louvre","Lorde","Melodrama","ams 325 final project","Playlist","NZUM71700067"
