Original Song,Original Artist,Similarity,Recommended Song,Recommended Artist
Overexposed,Matt and Kim,0.9955938879671195,Sunset Lover,Petit Biscuit
MARY JANE,Night Lovell,0.9287879382649518,Top,Lil Uzi Vert
Mo Better,Raheem DeVaughn,0.9251293481731342,Make Me Better,Fabolous
Who Are You,The Who,0.903544546439361,W18,Cassius
Like A Rolling Stone - Edit,The Rolling Stones,0.8380450875924743,Like a Rolling Stone,Bob Dylan
Somebody,Sigala,0.8049317117614564,Use Somebody (Classic Bonus Track) - Armin van Buuren Rework,Laura Jansen
Don't Worry (feat. Ray Dalton) - Matoma Remix,Madcon,0.8041113246168168,Don't Worry Bout Me - Rudimental Remix,Zara Larsson
Sorry,Aquilo,0.7981259684650841,listen before i go,Billie Eilish
Run Away With Me,Carly Rae Jepsen,0.7812080187329151,Johnny Run Away,Tones and I
Turn to Stone,Electric Light Orchestra,0.7751493575041635,Turn Up The Speakers,Afrojack
Still Swingin',Papa Roach,0.7032451837589611,Apollo - Radio Edit,Hardwell
Little Do You Know,Campsite Dream,0.6981484935473155,A Little More,Kaskade
Sick Feeling,boy pablo,0.6929437607590568,I'm So Sick,Flyleaf
I Need Your Help,Deitrick Haddon,0.6692897656701317,My Sweet Lord,George Harrison
Summer Of '69,Bryan Adams,0.6556183536102543,School's Out,Alice Cooper
Wind of Change,Scorpions,0.6434745078260103,Dust In The Wind (Acoustic Guitar Solo) - Live acoustic guitar solo,Kansas
Call on Me - Ryan Riback Remix,Starley,0.6425224387626219,You Need To Calm Down - Clean Bandit Remix,Taylor Swift
For All My Ladies,Trick Daddy,0.5711965704774242,Baby Sitter (feat. Offset),DaBaby
Hello Sunshine,Bruce Springsteen,0.5573634205735528,Stay With Me,ayokay
Tired - Kygo Remix,Alan Walker,0.532361440183431,Unconditionally,Katy Perry
Fast Car,Jonas Blue,0.5279535900850124,Too Fast,Sonder
This Picture,Placebo,0.5215690049952446,i miss the old u,blackbear
Can You Hear Me,Korn,0.5114197322684358,I'll Be Around - Remastered Version,The Spinners
Summertime,Sam Cooke,0.5023494788418226,Mockingbird,Eminem
Seigfried,Frank Ocean,0.49421466675326514,In The Dark,Billy Squier
Find Our Way,Midnight Kids,0.45841423001124804,Secrets,Jacob Whitesides
Wild Side,Cross My Heart Hope To Die,0.44431461426568364,Anthem,Jay Prince
Shepherd of Fire,Avenged Sevenfold,0.43373655558627794,SCARS (feat. Cub Rayan),Sick Individuals
In Only Seven Days - Remastered 2011,Queen,0.41990061463439093,Cannonball,Dijon
