Original Song,Original Artist,Similarity,Recommended Song,Recommended Artist
Let Me Go,Daniel Caesar,0.9832353753713589,Howlin' For You,The Black Keys
Let Me Go,Daniel Caesar,0.9832353753713589,Howlin' For You,The Black Keys
Let Me Go,Daniel Caesar,0.9800194225420137,Crimson and Clover,Tommy James & The Shondells
Let Me Go,Daniel Caesar,0.9800194225420137,Crimson and Clover,Tommy James & The Shondells
Let Me Go,Daniel Caesar,0.9750553405769553,Apple Juice (feat. Carla Monroe) - MOTi Remix,SLATIN
Let Me Go,Daniel Caesar,0.9750553405769553,Apple Juice (feat. Carla Monroe) - MOTi Remix,SLATIN
There She Goes,The La's,0.8811759308427721,My Hero,Foo Fighters
There She Goes,The La's,0.8811759308427721,My Hero,Foo Fighters
Night Shift,Lucy Dacus,0.8707887612829561,"Fire, Ready, Aim",Green Day
Night Shift,Lucy Dacus,0.8707887612829561,"Fire, Ready, Aim",Green Day
Night Shift,Lucy Dacus,0.8644662794031468,Savages,MARINA
Night Shift,Lucy Dacus,0.8644662794031468,Savages,MARINA
Night Shift,Lucy Dacus,0.8626076229709179,Venus,Shocking Blue
Night Shift,Lucy Dacus,0.8626076229709179,Venus,Shocking Blue
There She Goes,The La's,0.7463905478787407,Here It Goes Again,OK Go
Mystery of Love,Sufjan Stevens,0.7396527534847714,Feel Alive,Jack & James
Mystery of Love,Sufjan Stevens,0.7173191951228912,People Are Strange - Festival Mix,KAAZE
Mystery of Love,Sufjan Stevens,0.7173191951228912,People Are Strange,KAAZE
Tennis Court,Lorde,0.6574797601682034,Summer,Marshmello
Tennis Court,Lorde,0.6526804735196126,"Cross the Path (feat. Swizz Beatz, A.CHAL & Jidenna)",Godfather of Harlem
Tennis Court,Lorde,0.638625577821094,Clicc Clacc,NLE Choppa
Green Light,Lorde,0.5447593544554914,Hollow (feat. Sabelle),My Buddy Mike
Green Light,Lorde,0.5125263745169208,Midnight,Coldplay
Green Light,Lorde,0.49319320073701134,Waiting For Love,Brooks
Runaway,Kanye West,0.4280054149193564,Bad Liar,Selena Gomez
Runaway,Kanye West,0.40862966937848,Workin' On It,Meghan Trainor
Runaway,Kanye West,0.3976868139472573,U and Dat (feat. T. Pain & Kandi Girl),E-40
Ribs,Lorde,0.3427792433513445,Somewhere Only We Know,Keane
Ribs,Lorde,0.34053191743282535,Falling For Boys,Julia Michaels
Ribs,Lorde,0.3298595253849763,Rocket,Mike Williams
