Original Song,Original Artist,Similarity,Recommended Song,Recommended Artist
There She Goes,The La's,0.8837014274095668,My Hero,Great Good Fine Ok
There She Goes,The La's,0.8837014274095668,My Hero,Sheck Wes
There She Goes,The La's,0.7459426831962672,Here It Goes Again,Hayseed Dixie
There She Goes,The La's,0.6910702630347656,Alarm,AIELLO
There She Goes,The La's,0.6742651906043111,Do Or Die - Afrojack vs. THIRTY SECONDS TO MARS Remix,DJ Khaled
Tennis Court,Lorde,0.6587663807752765,Summer,Deorro
Tennis Court,Lorde,0.6540667015973585,"Cross the Path (feat. Swizz Beatz, A.CHAL & Jidenna)",Don Omar
Tennis Court,Lorde,0.6399234724170931,Clicc Clacc,6LACK
There She Goes,The La's,0.6368732418790285,Rinse & Repeat - Radio Edit,6ix9ine
Team,Lorde,0.6351473449389549,Never Be The Same,Ted Nugent
Team,Lorde,0.6351473449389549,Never Be The Same,Ted Nugent
Tennis Court,Lorde,0.6321852275375294,Yeah! (feat. Lil Jon & Ludacris),The Wanted
Tennis Court,Lorde,0.6319812551288796,Narcos,Roddy Ricch
Tennis Court,Lorde,0.6248095995759713,With Me,Majid Jordan
Talk,beabadoobee,0.6213759420879438,Sex,Mott The Hoople
Talk,beabadoobee,0.6213759420879438,Sex,Showtek
Talk,beabadoobee,0.6213759420879438,Sex,Showtek
Talk,beabadoobee,0.6213759420879438,Sex,Mott The Hoople
Team,Lorde,0.6171718694110837,Anchor,KRS-One
Team,Lorde,0.6171718694110837,Anchor,KRS-One
Bags,Clairo,0.6154975409085188,Swing My Door,Morgan Page
Tennis Court,Lorde,0.6139508670520726,Mony Mony - Downtown Mix / 24-Bit Digitally Remastered 2001,You Me At Six
There She Goes,The La's,0.6116563299037163,That's The Way Love Goes,Jason Derulo
Tennis Court,Lorde,0.6058062005455607,Baby,UGK
I Don't Wanna Be Funny Anymore,Lucy Dacus,0.602343809465839,I Don't Wanna Love You Anymore,Vampire Weekend
Tennis Court,Lorde,0.5997342658887259,Girls Like You (feat. Cardi B),Escape the Fate
Tennis Court,Lorde,0.5997342658887259,Girls Like You (feat. Cardi B),Pallas
Team,Lorde,0.599068531103734,Sweet Soul Music,1takejay
Team,Lorde,0.599068531103734,Sweet Soul Music,1takejay
Team,Lorde,0.5945296699828968,Hero,The Who
