Original Song,Original Artist,Similarity,Recommended Song,Recommended Artist
Monster,Kanye West,1.0,Monster - Robin Schulz Remix,The Weeknd
There She Goes,The La's,0.8837014274095668,My Hero,Sheck Wes
There She Goes,The La's,0.8837014274095668,My Hero,Great Good Fine Ok
There She Goes,The La's,0.7459426831962672,Here It Goes Again,Hayseed Dixie
Monster,Kanye West,0.622331062384299,Lie To Me (feat. Julia Michaels),Owl City
Bags,Clairo,0.6154975409085188,Swing My Door,Morgan Page
Monster,Kanye West,0.6110876659241508,Lie,Nick Cave & The Bad Seeds
Always,Daniel Caesar,0.6044620447456599,Wake Up This Day,Ja Rule
Always,Daniel Caesar,0.547560954282269,Whatever It Takes,Nelly
Green Light,Lorde,0.5453121643888164,Hollow (feat. Sabelle),Quiet Riot
Green Light,Lorde,0.513176821202036,Midnight,Flo Rida
Bags,Clairo,0.5017082672750189,Let 'Em In - Remastered 2014,Fleurie
Daylight,Taylor Swift,0.4942561376758818,Peace,FTampa
Green Light,Lorde,0.4936158668096987,Waiting For Love,Miley Cyrus
Daylight,Taylor Swift,0.49181775700612396,Anchor,KRS-One
Daylight,Taylor Swift,0.4897777256126905,In Time,The Young Rascals
Always,Daniel Caesar,0.47056204379671573,Silent Morning,Duki
Bags,Clairo,0.4295185670948498,Back Door Santa,Scarface
Funeral,Phoebe Bridgers,0.39467348791869417,Tonite,Carl Thomas
Funeral,Phoebe Bridgers,0.39467348791869417,Tonite,Carl Thomas
Funeral,Phoebe Bridgers,0.39467348791869417,Tonite,Carl Thomas
Funeral,Phoebe Bridgers,0.38450748961112635,All About Tonight,Jimmy Eat World
Funeral,Phoebe Bridgers,0.38450748961112635,All About Tonight,Jimmy Eat World
Funeral,Phoebe Bridgers,0.38450748961112635,All About Tonight,Jimmy Eat World
Funeral,Phoebe Bridgers,0.38227642757278546,Lost In Japan,Tasha Cobbs Leonard
Funeral,Phoebe Bridgers,0.38227642757278546,Lost In Japan,Tasha Cobbs Leonard
Funeral,Phoebe Bridgers,0.38227642757278546,Lost In Japan,Tasha Cobbs Leonard
Ribs,Lorde,0.34878094632463397,Somewhere Only We Know,Carlos Sadness
Ribs,Lorde,0.3468549157206624,Falling For Boys,Gente De Zona
Ribs,Lorde,0.335815970687676,Rocket,Joyner Lucas
